iter	Passed	Remaining
1133	15197	4904
1134	15207	4890
1135	15218	4876
1136	15230	4862
1137	15244	4849
1138	15256	4835
1139	15269	4821
1140	15283	4808
1141	15297	4795
1142	15313	4782
1143	15326	4769
1144	15340	4756
1145	15353	4742
1146	15367	4729
1147	15382	4716
1148	15396	4703
1149	15410	4690
1150	15426	4677
1151	15439	4664
1152	15452	4650
1153	15465	4636
1154	15478	4623
1155	15490	4609
1156	15502	4595
1157	15516	4582
1158	15528	4568
1159	15539	4554
1160	15555	4542
1161	15569	4528
1162	15580	4514
1163	15593	4501
1164	15606	4487
1165	15617	4473
1166	15630	4460
1167	15643	4446
1168	15656	4433
1169	15671	4420
1170	15684	4406
1171	15696	4392
1172	15708	4379
1173	15721	4365
1174	15733	4351
1175	15746	4338
1176	15758	4324
1177	15772	4311
1178	15788	4298
1179	15801	4285
1180	15811	4270
1181	15824	4257
1182	15836	4243
1183	15846	4229
1184	15856	4215
1185	15870	4201
1186	15881	4187
1187	15894	4174
1188	15906	4160
1189	15917	4146
1190	15930	4133
1191	15941	4119
1192	15952	4105
1193	15967	4092
1194	15981	4078
1195	15991	4064
1196	16005	4051
1197	16017	4037
1198	16029	4024
1199	16040	4010
1200	16053	3996
1201	16066	3983
1202	16080	3970
1203	16095	3956
1204	16107	3943
1205	16120	3929
1206	16133	3916
1207	16146	3902
1208	16216	3903
1209	16250	3894
1210	16269	3882
1211	16287	3870
1212	16299	3856
1213	16311	3842
1214	16321	3828
1215	16332	3814
1216	16345	3800
1217	16358	3787
1218	16371	3773
1219	16386	3760
1220	16403	3748
1221	16414	3734
1222	16427	3720
1223	16442	3707
1224	16455	3694
1225	16470	3681
1226	16485	3667
1227	16497	3654
1228	16509	3640
1229	16524	3627
1230	16540	3614
1231	16555	3601
1232	16571	3588
1233	16585	3575
1234	16599	3561
1235	16616	3549
1236	16630	3535
1237	16646	3523
1238	16661	3509
1239	16674	3496
1240	16687	3482
1241	16699	3469
1242	16712	3455
1243	16725	3441
1244	16738	3428
1245	16750	3414
1246	16763	3401
1247	16779	3388
1248	16794	3375
1249	16807	3361
1250	16820	3348
1251	16834	3334
1252	16848	3321
1253	16863	3308
1254	16876	3294
1255	16888	3280
1256	16900	3267
1257	16912	3253
1258	16925	3239
1259	16938	3226
1260	16953	3213
1261	16965	3199
1262	16977	3185
1263	16989	3172
1264	17001	3158
1265	17015	3145
1266	17028	3131
1267	17039	3117
1268	17053	3104
1269	17067	3090
1270	17078	3077
1271	17089	3063
1272	17100	3049
1273	17111	3035
1274	17124	3021
1275	17139	3008
1276	17151	2995
1277	17163	2981
1278	17176	2968
1279	17189	2954
1280	17204	2941
1281	17217	2927
1282	17230	2914
1283	17287	2908
1284	17302	2895
1285	17312	2880
1286	17327	2867
1287	17339	2854
1288	17352	2840
1289	17363	2826
1290	17376	2813
1291	17388	2799
1292	17401	2785
1293	17412	2772
1294	17423	2758
1295	17434	2744
1296	17447	2730
1297	17460	2717
1298	17473	2703
1299	17487	2690
1300	17502	2677
1301	17516	2663
1302	17532	2650
1303	17542	2636
1304	17555	2623
1305	17568	2609
1306	17581	2596
1307	17596	2582
1308	17609	2569
1309	17621	2555
1310	17635	2542
1311	17648	2528
1312	17660	2515
1313	17673	2501
1314	17686	2488
1315	17697	2474
1316	17710	2460
1317	17723	2447
1318	17735	2433
1319	17745	2419
1320	17755	2405
1321	17767	2392
1322	17779	2378
1323	17794	2365
1324	17805	2351
1325	17818	2338
1326	17831	2324
1327	17844	2311
1328	17856	2297
1329	17867	2283
1330	17880	2270
1331	17892	2256
1332	17904	2243
1333	17917	2229
1334	17928	2215
1335	17937	2201
1336	17947	2188
1337	17956	2174
1338	17967	2160
1339	17981	2147
1340	17993	2133
1341	18005	2119
1342	18017	2106
1343	18027	2092
1344	18040	2079
1345	18050	2065
1346	18062	2051
1347	18073	2038
1348	18085	2024
1349	18098	2010
1350	18109	1997
1351	18119	1983
1352	18128	1969
1353	18139	1955
1354	18150	1942
1355	18160	1928
1356	18170	1914
1357	18181	1901
1358	18192	1887
1359	18203	1873
1360	18215	1860
1361	18227	1846
1362	18238	1833
1363	18252	1819
1364	18267	1806
1365	18344	1799
1366	18356	1785
1367	18369	1772
1368	18379	1758
1369	18393	1745
1370	18407	1731
1371	18418	1718
1372	18429	1704
1373	18442	1691
1374	18455	1677
1375	18468	1664
1376	18483	1651
1377	18498	1637
1378	18510	1624
1379	18522	1610
1380	18533	1597
1381	18546	1583
1382	18556	1569
1383	18568	1556
1384	18581	1542
1385	18593	1529
1386	18606	1515
1387	18620	1502
1388	18631	1488
1389	18642	1475
1390	18654	1461
1391	18667	1448
1392	18680	1434
1393	18692	1421
1394	18703	1407
1395	18718	1394
1396	18731	1381
1397	18742	1367
1398	18752	1353
1399	18764	1340
1400	18776	1326
1401	18788	1313
1402	18802	1299
1403	18812	1286
1404	18823	1272
1405	18835	1259
1406	18846	1245
1407	18857	1232
1408	18868	1218
1409	18880	1205
1410	18891	1191
1411	18902	1178
1412	18914	1164
1413	18928	1151
1414	18943	1137
1415	18955	1124
1416	18966	1110
1417	18976	1097
1418	18987	1083
1419	18997	1070
1420	19010	1056
1421	19021	1043
1422	19031	1029
1423	19045	1016
1424	19058	1003
1425	19069	989
1426	19080	976
1427	19093	962
1428	19105	949
1429	19117	935
1430	19128	922
1431	19141	908
1432	19152	895
1433	19168	882
1434	19178	868
1435	19189	855
1436	19199	841
1437	19210	828
1438	19220	814
1439	19230	801
1440	19241	787
1441	19253	774
1442	19267	761
1443	19279	747
1444	19293	734
1445	19307	721
